ID_MAPA;kod_GUS;powiat;ID_GUS;jpt_kod_je;jpt_opis;stolica woj..;podregion (uk³ad 66);nr podregionu (do 66);podregion (uk³ad 72);nr podregionu (do 72);województwo;nr wojew;miasta_n_p_pow;odleg³oœæ;gminy_ogó³em  ;gminy_miejskie;gminy_wiejskie;gminy_miejsko-wiejskie;rok;XA02;XA03;XA04;XA05;XA06;XA17;XA19;XA20;XA21;XA28;XA30;XA31;XA40;XA41
1;3183612000;Powiat ni¿añski;170;1812;829081;0;Podregion 36 - tarnobrzeski;36;Podregion 36 - tarnobrzeski;36;Podkarpackie;18;County;53,83567331;7;0;4;3;2015;15582;8253;3029;4300;19,8;36,0;11715;44044;11419;4145;3017,94;72,7;403;7
2;3183413000;Powiat przemyski;158;1813;829082;0;Podregion 34 - przemyski;34;Podregion 34 - przemyski;34;Podkarpackie;18;County;55,24993705;10;0;10;0;2015;20434;14393;1123;4918;17,9;125,2;14238;47878;12199;4124;3195,46;77,0;0;1741
3;3183414000;Powiat przeworski;159;1814;829083;0;Podregion 34 - przemyski;34;Podregion 34 - przemyski;34;Podkarpackie;18;County;41,17651169;9;1;6;2;2015;24367;13814;4408;6145;16,9;113,3;15022;49557;14290;4608;3130,09;75,4;1687;176
4;3183515000;Powiat ropczycko-sêdziszowski;163;1815;829084;0;Podregion 35 - rzeszowski;35;Podregion 35 - rzeszowski;35;Podkarpackie;18;County;26,23431636;5;0;3;2;2015;19901;8230;5539;6132;17,0;323,1;15116;46260;12380;4998;3365,62;81,1;0;0
5;3183516000;Powiat rzeszowski;164;1816;829085;0;Podregion 35 - rzeszowski;35;Podregion 35 - rzeszowski;35;Podkarpackie;18;County;3,846190718;14;1;8;5;2015;51290;26078;11030;14182;12,8;589,6;33572;105406;28364;11675;3333,91;80,3;896;233
6;3183317000;Powiat sanocki;153;1817;829086;0;Podregion 33 - kroœnieñski;33;Podregion 33 - kroœnieñski;33;Podkarpackie;18;County;65,56136592;8;1;6;1;2015;31569;10781;10534;10254;9,9;208,0;17380;60541;17724;6972;3251,52;78,3;9061;0
7;3183618000;Powiat stalowowolski;171;1818;829087;0;Podregion 36 - tarnobrzeski;36;Podregion 36 - tarnobrzeski;36;Podkarpackie;18;County;62,73051546;6;1;5;0;2015;33790;7183;14222;12385;9,6;731,9;18093;68523;21330;8926;3651,26;88,0;17628;164
8;3183519000;Powiat strzy¿owski;165;1819;829088;0;Podregion 35 - rzeszowski;35;Podregion 35 - rzeszowski;35;Podkarpackie;18;County;27,38566935;5;0;4;1;2015;18416;11960;2134;4322;20,2;23,4;11563;39208;11081;3878;2990,08;72,0;143;20
9;3183620000;Powiat tarnobrzeski;172;1820;829089;0;Podregion 36 - tarnobrzeski;36;Podregion 36 - tarnobrzeski;36;Podkarpackie;18;County;54,26335904;4;0;2;2;2015;17778;8040;5588;4150;11,1;309,4;9427;34381;9903;3381;3531,20;85,1;4487;850
10;3183321000;Powiat leski;154;1821;829090;0;Podregion 33 - kroœnieñski;33;Podregion 33 - kroœnieñski;33;Podkarpackie;18;County;85,89672834;5;0;4;1;2015;7569;4166;472;2931;20,9;27,1;4684;17028;5035;2933;3504,61;84,4;934;93
11;3183361000;Powiat Krosno;155;1861;829091;0;Podregion 33 - kroœnieñski;33;Podregion 33 - kroœnieñski;33;Podkarpackie;18;City;43,72285293;1;1;0;0;2015;23530;480;10088;12962;5,9;139,1;7823;28679;10273;5639;3266,12;78,7;18011;0
12;3183563000;Powiat Rzeszów;166;1863;829092;1;Podregion 35 - rzeszowski;35;Podregion 35 - rzeszowski;35;Podkarpackie;18;City;0;1;1;0;0;2015;86665;3399;21268;61998;7,3;1086,5;32900;117746;35250;25648;4231,81;101,9;28763;0
13;3183462000;Powiat Przemyœl;160;1862;829093;0;Podregion 34 - przemyski;34;Podregion 34 - przemyski;34;Podkarpackie;18;City;64,67083948;1;1;0;0;2015;18401;1399;3619;13383;14,9;31,9;10165;38777;13778;6262;3501,18;84,3;13113;0
